pair_name,pair_a,pair_b,region_rank,size_voxels,tfce_sum,tfce_max,n_valid_mean,n_valid_min,point_type,Layer,NoiseStd,Percent,score_value,idx_layer,idx_noise,idx_percent
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,peak,32.0,2.0,0.3,165.81999133795486,32,9,3
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,centroid,21.0,1.6,0.7,116.79303888756223,21,5,7
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,34.0,2.0,0.3,165.37683345724471,34,9,3
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,27.0,1.6,0.6,159.17471548359865,27,5,6
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,32.0,1.7,0.5,158.3334186638671,32,6,5
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,30.0,2.0,0.3,156.73997698830402,30,9,3
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,33.0,1.5,0.7,156.59387388473107,33,4,7
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,30.0,1.8,0.4,156.0915028691828,30,7,4
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,32.0,1.4,0.8,156.0611092913863,32,3,8
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,29.0,1.5,0.7,154.87294376148282,29,4,7
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,33.0,1.4,0.9,154.58156238350287,33,3,9
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,33.0,1.9,0.3,154.000115761983,33,8,3
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,29.0,1.7,0.6,153.4944938096926,29,6,6
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,33.0,1.6,0.6,153.4650773042043,33,5,6
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,34.0,1.4,0.8,153.36809090732734,34,3,8
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,34.0,1.5,0.6,152.73317718851206,34,4,6
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,27.0,1.8,0.4,152.41483593288817,27,7,4
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,21.0,1.4,0.8,150.81170944578818,21,3,8
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,35.0,1.7,0.5,150.6877056041338,35,6,5
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,30.0,1.7,0.5,150.60304098834388,30,6,5
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,31.0,1.5,0.7,150.3561184856929,31,4,7
Phonemic_and_Neologism,Phonemic,Neologism,1,1135,92808.53673760565,165.81999133795486,38.57444933920705,29,support,29.0,1.4,0.8,150.24609405075736,29,3,8
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,peak,27.0,1.7,0.4,85.98563859464149,27,6,4
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,centroid,27.0,1.5,0.6,75.41867512172554,27,4,6
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,27.0,1.4,0.7,82.76309954177404,27,3,7
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,35.0,2.0,0.3,82.26475376089189,35,9,3
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,26.0,1.3,0.9,78.8975505430078,26,2,9
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,31.0,1.5,0.6,78.50086749911333,31,4,6
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,26.0,1.6,0.5,78.43315655060825,26,5,5
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,36.0,1.5,0.7,76.05782470563543,36,4,7
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,27.0,1.3,1.0,75.80949927674956,27,2,10
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,29.0,1.5,0.6,75.62490780465981,29,4,6
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,29.0,1.7,0.4,74.81074252437541,29,6,4
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,35.0,1.3,1.0,74.71061101582828,35,2,10
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,30.0,1.4,0.7,74.66726492101496,30,3,7
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,33.0,1.6,0.5,74.54900767661213,33,5,5
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,32.0,1.3,0.9,74.48271960332806,32,2,9
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,25.0,1.5,0.6,74.3752347502167,25,4,6
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,33.0,1.5,0.6,73.9891512878379,33,4,6
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,29.0,1.6,0.5,73.4784191474263,29,5,5
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,38.0,1.6,0.6,73.46777498049534,38,5,6
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,28.0,1.9,0.3,73.38296206480764,28,8,3
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,30.0,1.3,0.9,73.3074116683169,30,2,9
Semantic_and_Neologism,Semantic,Neologism,1,1019,24499.23502241208,85.98563859464149,38.903827281648674,29,support,28.0,1.7,0.5,73.15428651276332,28,6,5
Semantic_and_Neologism,Semantic,Neologism,2,7,11.863235917092362,1.7693857554196502,30.0,30,peak,8.0,1.3,1.0,1.7693857554196502,8,2,10
Semantic_and_Neologism,Semantic,Neologism,2,7,11.863235917092362,1.7693857554196502,30.0,30,centroid,8.0,1.2,1.0,1.718687029505694,8,1,10
Semantic_and_Neologism,Semantic,Neologism,2,7,11.863235917092362,1.7693857554196502,30.0,30,support,9.0,1.1,1.0,1.751815092201943,9,0,10
Semantic_and_Neologism,Semantic,Neologism,2,7,11.863235917092362,1.7693857554196502,30.0,30,support,7.0,1.1,1.0,1.724177894882974,7,0,10
Semantic_and_Neologism,Semantic,Neologism,3,6,9.422462250510304,1.6070500900122728,40.0,40,peak,9.0,1.4,0.7,1.6070500900122728,9,3,7
Semantic_and_Neologism,Semantic,Neologism,3,6,9.422462250510304,1.6070500900122728,40.0,40,centroid,9.0,1.4,0.6,1.5625891398815965,9,3,6
Semantic_and_Neologism,Semantic,Neologism,3,6,9.422462250510304,1.6070500900122728,40.0,40,support,9.0,1.3,0.5,1.574767405954052,9,2,5
Semantic_and_Neologism,Semantic,Neologism,4,4,6.308572671314709,1.635981198559152,40.0,40,peak,8.0,1.7,0.5,1.635981198559152,8,6,5
Semantic_and_Neologism,Semantic,Neologism,4,4,6.308572671314709,1.635981198559152,40.0,40,support,8.0,1.6,0.6,1.559279297124739,8,5,6
Semantic_and_Neologism,Semantic,Neologism,5,3,5.313336514683708,1.7748901094367815,40.0,40,peak,10.0,2.0,0.2,1.7748901094367815,10,9,2
Semantic_and_Neologism,Semantic,Neologism,5,3,5.313336514683708,1.7748901094367815,40.0,40,centroid,9.0,2.0,0.2,1.7651132206360594,9,9,2
