pair_name,pair_a,pair_b,sign,region_id_raw,num_seeds_total,size_voxels,tfce_threshold_used,tfce_sum,tfce_mean,tfce_max,tfce_signed_mean,t_mean,t_max_abs,mean_subtraction_mean,mean_subtraction_max_abs,n_valid_mean,n_valid_min,n_valid_max,peak_n_valid,peak_layer,peak_noise,peak_percent,peak_tfce_signed,peak_tfce_abs_for_sign,peak_t_signed,peak_mean_signed,centroid_layer,centroid_noise,centroid_percent,region_rank
Phonemic_minus_Neologism,Phonemic,Neologism,negative,4,40,95,1520.58654165394,168080.3293210661,1769.2666244322747,2174.9958454341927,-1769.2666244322747,-7.445687042955862,10.822980742968012,-0.08621309931310163,0.14098101265822788,39.76842105263158,29,40,40,17.0,1.4,0.8,-2174.9958454341927,2174.9958454341927,-10.822980742968012,-0.11107594936708864,16.0,1.7,0.5,1
Phonemic_minus_Neologism,Phonemic,Neologism,negative,2,40,15,1520.58654165394,24814.796464870247,1654.319764324683,1970.6639694075602,-1654.319764324683,-7.572430800569025,10.561561600881404,-0.087415611814346,0.10522151898734178,40.0,40,40,40,9.0,1.9,0.5,-1970.6639694075602,1970.6639694075602,-10.561561600881404,-0.10522151898734178,9.0,1.8,0.6,2
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,40,7,1520.58654165394,11240.0315140369,1605.7187877195572,1652.8226802889624,-1605.7187877195572,-7.385963517607105,7.904396818489384,-0.08908227848101267,0.10743670886075951,40.0,40,40,40,8.0,1.6,0.8,-1652.8226802889624,1652.8226802889624,-7.904396818489384,-0.1004746835443038,8.0,1.6,0.8,3
Phonemic_minus_Neologism,Phonemic,Neologism,negative,5,40,4,1520.58654165394,6377.766697514777,1594.4416743786942,1652.0423699446233,-1594.4416743786942,-7.530601764278042,8.292310905880408,-0.08322784810126582,0.09525316455696203,40.0,40,40,40,12.0,1.6,0.7,-1652.0423699446233,1652.0423699446233,-8.292310905880408,-0.09272151898734178,12.0,1.7,0.7,4
Phonemic_minus_Neologism,Phonemic,Neologism,negative,3,40,3,1520.58654165394,4601.084262262564,1533.6947540875215,1536.7153388178444,-1533.6947540875215,-7.202339466597409,7.260297636546347,-0.07985232067510548,0.08575949367088606,40.0,40,40,40,11.0,1.6,0.8,-1536.7153388178444,1536.7153388178444,-7.260297636546347,-0.08117088607594938,11.0,1.5,0.8,5
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,40,249,24574.94972635025,11481866.848932607,46111.91505595425,99952.1621603409,46111.91505595425,21.003348626638953,45.06939094329986,0.13275526531693935,0.1982594936708861,39.036144578313255,29,40,40,30.0,1.8,0.4,99952.1621603409,99952.1621603409,45.06939094329986,0.1582278481012658,29.0,1.6,0.6,1
Semantic_minus_Neologism,Semantic,Neologism,negative,1,40,200,10053.219715786438,2496042.05474025,12480.21027370125,16527.448250014302,-12480.21027370125,-12.761915539738183,19.96158346199921,-0.12790810963189292,0.20933544303797472,39.195,29,40,40,19.0,1.9,0.3,-16527.448250014302,16527.448250014302,-19.96158346199921,-0.18386075949367087,20.0,1.6,0.6,1
Semantic_minus_Neologism,Semantic,Neologism,negative,2,40,10,10053.219715786438,103284.87575814092,10328.487575814092,10677.719161399458,-10328.487575814092,-12.601643068145957,13.922227369005853,-0.04795886075949367,0.05933544303797465,40.0,40,40,40,33.0,2.0,0.3,-10677.719161399458,10677.719161399458,-13.922227369005853,-0.05933544303797465,34.0,1.9,0.4,2
Semantic_minus_Neologism,Semantic,Neologism,negative,3,40,3,10053.219715786438,31565.1613335038,10521.720444501267,10926.247301672054,-10521.720444501267,-13.795746160166551,15.622256813623308,-0.04298523206751056,0.05553797468354432,40.0,40,40,40,37.0,1.7,0.7,-10926.247301672054,10926.247301672054,-15.622256813623308,-0.04414556962025316,37.0,1.7,0.7,3
Semantic_minus_Neologism,Semantic,Neologism,positive,1,40,134,22402.62805173757,3702666.4236555956,27631.838982504443,34316.8335838638,27631.838982504443,17.380677383778266,25.594545369004333,0.02718881856540084,0.04345991561181436,39.850746268656714,30,40,40,28.0,1.5,0.4,34316.8335838638,34316.8335838638,25.594545369004333,0.03275316455696201,27.0,1.3,0.5,1
Semantic_minus_Neologism,Semantic,Neologism,positive,2,40,38,22402.62805173757,916244.9814508609,24111.71003818055,26222.28649903602,24111.71003818055,16.49103079269771,19.99409156895817,0.02318037974683544,0.03243670886075949,40.0,40,40,40,36.0,1.5,0.4,26222.28649903602,26222.28649903602,19.99409156895817,0.030221518987341767,35.0,1.3,0.5,2
Semantic_minus_Neologism,Semantic,Neologism,positive,3,40,4,22402.62805173757,93960.26480864329,23490.066202160822,23980.744274375145,23490.066202160822,17.53986990579735,18.7513136794701,0.021543330087633886,0.02661473547549497,39.0,39,39,39,36.0,1.8,0.2,23980.744274375145,23980.744274375145,18.7513136794701,0.023206751054852325,36.0,1.7,0.2,3
